sexofdriver,agebandofdriver,educationlevel,vehicledriverrelation,driverexperience,typeofvehicle,ownerofvehicle,defectofvehicle,roadsurfacecondition,fuelconsumption,label
0,0,0,2,0,1,2,0,3,12,1
1,4,2,2,0,3,0,1,3,8,1
1,1,0,0,4,0,1,1,2,19,1
1,1,2,2,2,1,2,3,0,8,0
0,3,2,2,2,2,1,1,4,9,1
0,4,2,1,3,0,2,3,3,20,1
0,1,2,1,0,3,0,1,1,14,0
0,2,2,2,3,0,1,1,4,13,0
1,4,1,0,1,0,0,3,2,18,1
0,4,1,0,2,0,0,1,0,20,1
0,3,1,1,0,4,2,1,1,20,1
1,1,1,2,3,2,1,1,4,12,1
0,4,1,1,0,3,1,0,4,19,1
1,1,2,0,1,3,1,2,3,9,1
1,2,0,2,2,3,1,0,4,17,1
1,3,0,1,3,1,2,1,0,11,0
1,2,2,1,0,3,2,2,0,9,1
0,3,0,0,2,3,0,0,4,7,1
0,4,0,1,2,2,2,0,3,13,0
0,3,1,0,0,1,1,0,1,18,0
1,0,1,0,2,1,2,3,1,15,1
0,1,1,2,2,0,0,1,3,13,1
1,1,0,2,3,4,1,1,2,5,1
1,0,1,1,2,1,1,2,0,14,1
1,2,2,0,3,1,0,0,2,14,0
0,0,0,0,2,2,0,1,3,20,1
0,4,0,2,1,3,1,0,2,9,1
0,4,1,2,1,1,2,1,3,19,0
1,1,2,0,3,1,2,0,1,20,0
1,4,1,2,3,4,1,1,1,16,1
0,1,1,1,1,2,1,2,2,15,1
1,0,0,0,2,4,1,0,2,17,0
0,0,0,2,3,1,2,1,0,19,1
0,0,1,1,0,1,2,2,1,15,0
0,1,0,0,2,2,1,2,0,11,0
1,0,0,1,2,0,0,1,2,12,1
0,0,0,1,1,0,1,0,3,17,0
1,2,1,0,3,1,1,3,1,12,0
1,0,0,1,2,1,2,2,3,18,0
0,4,1,2,3,4,1,2,0,6,1
0,1,0,2,3,4,2,1,0,15,1
0,2,2,2,3,4,0,3,4,20,0
0,3,0,1,1,3,1,3,1,17,1
1,1,1,2,3,1,0,3,1,17,0
1,4,0,1,1,3,1,1,0,9,0
0,1,1,2,0,0,0,0,3,20,1
1,4,1,0,2,1,2,2,1,6,1
1,4,0,1,2,1,1,1,0,9,1
1,3,1,1,0,2,1,3,4,15,0
1,1,0,2,1,1,0,2,2,8,0
1,3,2,0,2,0,2,2,1,19,0
0,3,1,2,1,1,0,3,2,8,1
1,1,1,2,1,3,0,3,3,19,1
0,0,1,0,1,1,2,2,4,5,0
1,3,0,1,2,2,2,3,1,18,0
1,4,1,0,0,2,1,1,0,20,1
0,3,2,0,2,3,1,3,4,7,0
1,4,2,2,1,1,2,0,4,20,0
1,2,2,1,1,4,0,3,1,16,1
1,4,2,1,0,2,1,0,3,18,1
1,0,2,0,2,1,1,1,0,15,1
1,0,1,2,3,1,1,3,4,15,1
0,4,0,0,1,4,2,3,0,8,0
1,2,1,0,1,3,2,3,1,10,1
1,2,1,2,1,1,1,1,2,15,1
1,0,1,1,1,1,0,1,1,18,1
1,2,0,1,3,1,2,0,1,20,1
1,3,0,0,0,3,0,2,1,14,0
1,1,2,0,1,3,2,1,4,17,0
1,3,1,0,2,2,2,3,1,6,0
0,0,2,2,3,2,0,0,2,19,1
1,2,0,2,1,1,0,3,2,7,0
0,4,0,0,2,3,0,3,2,15,0
0,1,0,1,1,3,2,1,3,13,1
1,4,0,1,0,4,0,2,1,15,0
1,0,1,2,3,1,0,3,2,8,0
0,2,2,2,0,2,0,1,3,17,1
0,4,0,1,3,4,0,0,1,5,0
0,4,2,2,1,3,0,3,1,19,1
1,1,0,1,1,2,0,0,0,18,0
1,1,2,0,4,1,0,1,1,6,0
0,2,2,2,2,3,2,1,0,11,1
1,1,0,0,2,1,0,1,4,16,0
1,4,0,2,1,4,2,1,4,20,1
0,4,2,2,1,4,1,1,3,19,1
1,0,1,0,0,4,1,2,0,6,1
0,4,0,0,1,0,2,0,4,11,1
0,2,0,2,4,1,0,2,4,13,0
0,3,1,0,2,4,2,0,4,9,0
1,0,1,1,2,4,1,3,1,14,1
0,0,0,1,0,1,2,3,0,19,0
1,2,0,0,2,4,1,0,4,20,0
0,2,0,1,2,1,2,3,0,8,0
1,1,0,1,3,3,2,3,2,5,0
0,0,2,1,2,1,2,3,2,12,1
0,1,2,2,0,1,2,2,1,10,0
1,4,2,1,0,0,2,2,2,14,1
1,0,0,1,2,3,1,1,3,5,0
1,0,2,0,1,0,2,0,0,18,0
1,3,0,1,2,4,2,3,4,7,1
0,0,0,2,0,1,2,0,3,12,1
1,4,2,2,0,3,0,1,3,8,1
1,1,0,0,4,0,1,1,2,19,1
1,1,2,2,2,1,2,3,0,8,0
0,3,2,2,2,2,1,1,4,9,1
0,4,2,1,3,0,2,3,3,20,1
0,1,2,1,0,3,0,1,1,14,0
0,2,2,2,3,0,1,1,4,13,0
1,4,1,0,1,0,0,3,2,18,1
0,4,1,0,2,0,0,1,0,20,1
0,3,1,1,0,4,2,1,1,20,1
1,1,1,2,3,2,1,1,4,12,1
0,4,1,1,0,3,1,0,4,19,1
1,1,2,0,1,3,1,2,3,9,1
1,2,0,2,2,3,1,0,4,17,1
1,3,0,1,3,1,2,1,0,11,0
1,2,2,1,0,3,2,2,0,9,1
0,3,0,0,2,3,0,0,4,7,1
0,4,0,1,2,2,2,0,3,13,0
0,3,1,0,0,1,1,0,1,18,0
1,0,1,0,2,1,2,3,1,15,1
0,1,1,2,2,0,0,1,3,13,1
1,1,0,2,3,4,1,1,2,5,1
1,0,1,1,2,1,1,2,0,14,1
1,2,2,0,3,1,0,0,2,14,0
0,0,0,0,2,2,0,1,3,20,1
0,4,0,2,1,3,1,0,2,9,1
0,4,1,2,1,1,2,1,3,19,0
1,1,2,0,3,1,2,0,1,20,0
1,4,1,2,3,4,1,1,1,16,1
0,1,1,1,1,2,1,2,2,15,1
1,0,0,0,2,4,1,0,2,17,0
0,0,0,2,3,1,2,1,0,19,1
0,0,1,1,0,1,2,2,1,15,0
0,1,0,0,2,2,1,2,0,11,0
1,0,0,1,2,0,0,1,2,12,1
0,0,0,1,1,0,1,0,3,17,0
1,2,1,0,3,1,1,3,1,12,0
1,0,0,1,2,1,2,2,3,18,0
0,4,1,2,3,4,1,2,0,6,1
0,1,0,2,3,4,2,1,0,15,1
0,2,2,2,3,4,0,3,4,20,0
0,3,0,1,1,3,1,3,1,17,1
1,1,1,2,3,1,0,3,1,17,0
1,4,0,1,1,3,1,1,0,9,0
0,1,1,2,0,0,0,0,3,20,1
1,4,1,0,2,1,2,2,1,6,1
1,4,0,1,2,1,1,1,0,9,1
1,3,1,1,0,2,1,3,4,15,0
1,1,0,2,1,1,0,2,2,8,0
1,3,2,0,2,0,2,2,1,19,0
0,3,1,2,1,1,0,3,2,8,1
1,1,1,2,1,3,0,3,3,19,1
0,0,1,0,1,1,2,2,4,5,0
0,4,2,2,1,4,1,1,3,19,1
1,0,1,0,0,4,1,2,0,6,1
0,4,0,0,1,0,2,0,4,11,1
0,2,0,2,4,1,0,2,4,13,0
0,3,1,0,2,4,2,0,4,9,0
1,0,1,1,2,4,1,3,1,14,1
0,0,0,1,0,1,2,3,0,19,0
1,2,0,0,2,4,1,0,4,20,0
0,2,0,1,2,1,2,3,0,8,0
1,1,0,1,3,3,2,3,2,5,0
0,0,2,1,2,1,2,3,2,12,1
0,1,2,2,0,1,2,2,1,10,0
1,4,2,1,0,0,2,2,2,14,1
1,0,0,1,2,3,1,1,3,5,0
1,0,2,0,1,0,2,0,0,18,0
1,3,0,1,2,4,2,3,4,7,1
0,0,0,2,0,1,2,0,3,12,1
1,4,2,2,0,3,0,1,3,8,1
1,1,0,0,4,0,1,1,2,19,1
1,1,2,2,2,1,2,3,0,8,0
0,3,2,2,2,2,1,1,4,9,1
0,4,2,1,3,0,2,3,3,20,1
0,1,2,1,0,3,0,1,1,14,0
0,2,2,2,3,0,1,1,4,13,0
1,4,1,0,1,0,0,3,2,18,1
0,4,1,0,2,0,0,1,0,20,1
0,3,1,1,0,4,2,1,1,20,1
1,1,1,2,3,2,1,1,4,12,1
0,4,1,1,0,3,1,0,4,19,1
1,1,2,0,1,3,1,2,3,9,1
1,2,0,2,2,3,1,0,4,17,1
1,3,0,1,3,1,2,1,0,11,0
1,2,2,1,0,3,2,2,0,9,1
0,3,0,0,2,3,0,0,4,7,1
0,4,0,1,2,2,2,0,3,13,0
0,3,1,0,0,1,1,0,1,18,0
1,0,1,0,2,1,2,3,1,15,1
0,1,1,2,2,0,0,1,3,13,1
1,1,0,2,3,4,1,1,2,5,1
1,0,1,1,2,1,1,2,0,14,1
1,2,2,0,3,1,0,0,2,14,0
0,0,0,0,2,2,0,1,3,20,1
0,4,0,2,1,3,1,0,2,9,1
0,4,1,2,1,1,2,1,3,19,0
1,1,2,0,3,1,2,0,1,20,0
1,4,1,2,3,4,1,1,1,16,1
0,1,1,1,1,2,1,2,2,15,1
1,0,0,0,2,4,1,0,2,17,0
0,0,0,2,3,1,2,1,0,19,1
0,0,1,1,0,1,2,2,1,15,0
0,1,0,0,2,2,1,2,0,11,0
1,0,0,1,2,0,0,1,2,12,1
0,0,0,1,1,0,1,0,3,17,0
1,2,1,0,3,1,1,3,1,12,0
1,0,0,1,2,1,2,2,3,18,0
0,4,1,2,3,4,1,2,0,6,1
0,1,0,2,3,4,2,1,0,15,1
0,2,2,2,3,4,0,3,4,20,0
0,3,0,1,1,3,1,3,1,17,1
1,1,1,2,3,1,0,3,1,17,0
1,4,0,1,1,3,1,1,0,9,0
0,1,1,2,0,0,0,0,3,20,1
1,4,1,0,2,1,2,2,1,6,1
1,4,0,1,2,1,1,1,0,9,1
1,3,1,1,0,2,1,3,4,15,0
1,1,0,2,1,1,0,2,2,8,0
1,3,2,0,2,0,2,2,1,19,0
0,3,1,2,1,1,0,3,2,8,1
1,1,1,2,1,3,0,3,3,19,1
0,0,1,0,1,1,2,2,4,5,0
1,3,0,1,2,2,2,3,1,18,0
1,4,1,0,0,2,1,1,0,20,1
0,3,2,0,2,3,1,3,4,7,0
1,4,2,2,1,1,2,0,4,20,0
1,2,2,1,1,4,0,3,1,16,1
1,4,2,1,0,2,1,0,3,18,1
1,0,2,0,2,1,1,1,0,15,1
1,0,1,2,3,1,1,3,4,15,1
0,4,0,0,1,4,2,3,0,8,0
1,2,1,0,1,3,2,3,1,10,1
1,2,1,2,1,1,1,1,2,15,1
1,0,1,1,1,1,0,1,1,18,1
1,2,0,1,3,1,2,0,1,20,1
1,3,0,0,0,3,0,2,1,14,0
1,1,2,0,1,3,2,1,4,17,0
1,3,1,0,2,2,2,3,1,6,0
0,0,2,2,3,2,0,0,2,19,1
1,2,0,2,1,1,0,3,2,7,0
0,4,0,0,2,3,0,3,2,15,0
0,1,0,1,1,3,2,1,3,13,1
1,4,0,1,0,4,0,2,1,15,0
1,0,1,2,3,1,0,3,2,8,0
0,2,2,2,0,2,0,1,3,17,1
0,4,0,1,3,4,0,0,1,5,0
0,4,2,2,1,3,0,3,1,19,1
1,1,0,1,1,2,0,0,0,18,0
1,1,2,0,4,1,0,1,1,6,0
0,2,2,2,2,3,2,1,0,11,1
1,1,0,0,2,1,0,1,4,16,0
1,4,0,2,1,4,2,1,4,20,1
0,4,2,2,1,4,1,1,3,19,1
1,0,1,0,0,4,1,2,0,6,1
0,4,0,0,1,0,2,0,4,11,1
0,2,0,2,4,1,0,2,4,13,0
0,3,1,0,2,4,2,0,4,9,0
1,0,1,1,2,4,1,3,1,14,1
0,0,0,1,0,1,2,3,0,19,0
1,2,0,0,2,4,1,0,4,20,0
0,2,0,1,2,1,2,3,0,8,0
1,1,0,1,3,3,2,3,2,5,0
0,0,2,1,2,1,2,3,2,12,1
0,1,2,2,0,1,2,2,1,10,0
1,4,2,1,0,0,2,2,2,14,1
1,0,0,1,2,3,1,1,3,5,0
1,0,2,0,1,0,2,0,0,18,0
1,3,0,1,2,4,2,3,4,7,1
0,0,0,2,0,1,2,0,3,12,1
1,4,2,2,0,3,0,1,3,8,1
1,1,0,0,4,0,1,1,2,19,1
1,1,2,2,2,1,2,3,0,8,0
0,3,2,2,2,2,1,1,4,9,1
0,4,2,1,3,0,2,3,3,20,1
0,1,2,1,0,3,0,1,1,14,0
0,2,2,2,3,0,1,1,4,13,0
1,4,1,0,1,0,0,3,2,18,1
0,4,1,0,2,0,0,1,0,20,1
0,3,1,1,0,4,2,1,1,20,1
1,1,1,2,3,2,1,1,4,12,1
0,4,1,1,0,3,1,0,4,19,1
1,1,2,0,1,3,1,2,3,9,1
1,2,0,2,2,3,1,0,4,17,1
1,3,0,1,3,1,2,1,0,11,0
1,2,2,1,0,3,2,2,0,9,1
0,3,0,0,2,3,0,0,4,7,1
0,4,0,1,2,2,2,0,3,13,0
0,3,1,0,0,1,1,0,1,18,0
1,0,1,0,2,1,2,3,1,15,1
0,1,1,2,2,0,0,1,3,13,1
1,1,0,2,3,4,1,1,2,5,1
1,0,1,1,2,1,1,2,0,14,1
1,2,2,0,3,1,0,0,2,14,0
0,0,0,0,2,2,0,1,3,20,1
0,4,0,2,1,3,1,0,2,9,1
0,4,1,2,1,1,2,1,3,19,0
1,1,2,0,3,1,2,0,1,20,0
1,4,1,2,3,4,1,1,1,16,1
0,1,1,1,1,2,1,2,2,15,1
1,0,0,0,2,4,1,0,2,17,0
0,0,0,2,3,1,2,1,0,19,1
0,0,1,1,0,1,2,2,1,15,0
0,1,0,0,2,2,1,2,0,11,0
1,0,0,1,2,0,0,1,2,12,1
0,0,0,1,1,0,1,0,3,17,0
1,2,1,0,3,1,1,3,1,12,0
1,0,0,1,2,1,2,2,3,18,0
0,4,1,2,3,4,1,2,0,6,1
0,1,0,2,3,4,2,1,0,15,1
0,2,2,2,3,4,0,3,4,20,0
0,3,0,1,1,3,1,3,1,17,1
1,1,1,2,3,1,0,3,1,17,0
1,4,0,1,1,3,1,1,0,9,0
0,1,1,2,0,0,0,0,3,20,1
1,4,1,0,2,1,2,2,1,6,1
1,4,0,1,2,1,1,1,0,9,1
1,3,1,1,0,2,1,3,4,15,0
1,1,0,2,1,1,0,2,2,8,0
1,3,2,0,2,0,2,2,1,19,0
0,3,1,2,1,1,0,3,2,8,1
1,1,1,2,1,3,0,3,3,19,1
0,0,1,0,1,1,2,2,4,5,0
1,3,0,1,2,2,2,3,1,18,0
1,4,1,0,0,2,1,1,0,20,1
0,3,2,0,2,3,1,3,4,7,0
1,4,2,2,1,1,2,0,4,20,0
1,2,2,1,1,4,0,3,1,16,1
1,4,2,1,0,2,1,0,3,18,1
1,0,2,0,2,1,1,1,0,15,1
1,0,1,2,3,1,1,3,4,15,1
0,4,0,0,1,4,2,3,0,8,0
1,2,1,0,1,3,2,3,1,10,1
1,2,1,2,1,1,1,1,2,15,1
1,0,1,1,1,1,0,1,1,18,1
1,2,0,1,3,1,2,0,1,20,1
1,3,0,0,0,3,0,2,1,14,0
1,1,2,0,1,3,2,1,4,17,0
1,3,1,0,2,2,2,3,1,6,0
0,0,2,2,3,2,0,0,2,19,1
1,2,0,2,1,1,0,3,2,7,0
0,4,0,0,2,3,0,3,2,15,0
0,1,0,1,1,3,2,1,3,13,1
1,4,0,1,0,4,0,2,1,15,0
1,0,1,2,3,1,0,3,2,8,0
0,2,2,2,0,2,0,1,3,17,1
0,4,0,1,3,4,0,0,1,5,0
0,4,2,2,1,3,0,3,1,19,1
1,1,0,1,1,2,0,0,0,18,0
1,1,2,0,4,1,0,1,1,6,0
0,2,2,2,2,3,2,1,0,11,1
1,1,0,0,2,1,0,1,4,16,0
1,4,0,2,1,4,2,1,4,20,1
0,4,2,2,1,4,1,1,3,19,1
1,0,1,0,0,4,1,2,0,6,1
0,4,0,0,1,0,2,0,4,11,1
0,2,0,2,4,1,0,2,4,13,0
0,3,1,0,2,4,2,0,4,9,0
1,0,1,1,2,4,1,3,1,14,1
0,0,0,1,0,1,2,3,0,19,0
1,2,0,0,2,4,1,0,4,20,0
0,2,0,1,2,1,2,3,0,8,0
1,1,0,1,3,3,2,3,2,5,0
0,0,2,1,2,1,2,3,2,12,1
0,1,2,2,0,1,2,2,1,10,0
1,4,2,1,0,0,2,2,2,14,1
1,0,0,1,2,3,1,1,3,5,0
1,0,2,0,1,0,2,0,0,18,0
1,3,0,1,2,4,2,3,4,7,1
0,0,0,2,0,1,2,0,3,12,1
1,4,2,2,0,3,0,1,3,8,1
1,1,0,0,4,0,1,1,2,19,1
1,1,2,2,2,1,2,3,0,8,0
0,3,2,2,2,2,1,1,4,9,1
0,4,2,1,3,0,2,3,3,20,1
0,1,2,1,0,3,0,1,1,14,0
0,2,2,2,3,0,1,1,4,13,0
1,4,1,0,1,0,0,3,2,18,1
0,4,1,0,2,0,0,1,0,20,1
0,3,1,1,0,4,2,1,1,20,1
1,1,1,2,3,2,1,1,4,12,1
0,4,1,1,0,3,1,0,4,19,1
1,1,2,0,1,3,1,2,3,9,1
1,2,0,2,2,3,1,0,4,17,1
1,3,0,1,3,1,2,1,0,11,0
1,2,2,1,0,3,2,2,0,9,1
0,3,0,0,2,3,0,0,4,7,1
0,4,0,1,2,2,2,0,3,13,0
0,3,1,0,0,1,1,0,1,18,0
1,0,1,0,2,1,2,3,1,15,1
0,1,1,2,2,0,0,1,3,13,1
1,1,0,2,3,4,1,1,2,5,1
1,0,1,1,2,1,1,2,0,14,1
1,2,2,0,3,1,0,0,2,14,0
0,0,0,0,2,2,0,1,3,20,1
0,4,0,2,1,3,1,0,2,9,1
0,4,1,2,1,1,2,1,3,19,0
1,1,2,0,3,1,2,0,1,20,0
1,4,1,2,3,4,1,1,1,16,1
0,1,1,1,1,2,1,2,2,15,1
1,0,0,0,2,4,1,0,2,17,0
0,0,0,2,3,1,2,1,0,19,1
0,0,1,1,0,1,2,2,1,15,0
0,1,0,0,2,2,1,2,0,11,0
1,0,0,1,2,0,0,1,2,12,1
0,0,0,1,1,0,1,0,3,17,0
1,2,1,0,3,1,1,3,1,12,0
1,0,0,1,2,1,2,2,3,18,0
0,4,1,2,3,4,1,2,0,6,1
0,1,0,2,3,4,2,1,0,15,1
0,2,2,2,3,4,0,3,4,20,0
0,3,0,1,1,3,1,3,1,17,1
1,1,1,2,3,1,0,3,1,17,0
1,4,0,1,1,3,1,1,0,9,0
0,1,1,2,0,0,0,0,3,20,1
1,4,1,0,2,1,2,2,1,6,1
1,4,0,1,2,1,1,1,0,9,1
1,3,1,1,0,2,1,3,4,15,0
1,1,0,2,1,1,0,2,2,8,0
1,3,2,0,2,0,2,2,1,19,0
0,3,1,2,1,1,0,3,2,8,1
1,1,1,2,1,3,0,3,3,19,1
0,0,1,0,1,1,2,2,4,5,0
0,4,2,2,1,4,1,1,3,19,1
1,0,1,0,0,4,1,2,0,6,1
0,4,0,0,1,0,2,0,4,11,1
0,2,0,2,4,1,0,2,4,13,0
0,3,1,0,2,4,2,0,4,9,0
1,0,1,1,2,4,1,3,1,14,1
0,0,0,1,0,1,2,3,0,19,0
1,2,0,0,2,4,1,0,4,20,0
0,2,0,1,2,1,2,3,0,8,0
1,1,0,1,3,3,2,3,2,5,0
0,0,2,1,2,1,2,3,2,12,1
0,1,2,2,0,1,2,2,1,10,0
1,4,2,1,0,0,2,2,2,14,1
1,0,0,1,2,3,1,1,3,5,0
1,0,2,0,1,0,2,0,0,18,0
1,3,0,1,2,4,2,3,4,7,1
0,0,0,2,0,1,2,0,3,12,1
1,4,2,2,0,3,0,1,3,8,1
1,1,0,0,4,0,1,1,2,19,1
1,1,2,2,2,1,2,3,0,8,0
0,3,2,2,2,2,1,1,4,9,1
0,4,2,1,3,0,2,3,3,20,1
0,1,2,1,0,3,0,1,1,14,0
0,2,2,2,3,0,1,1,4,13,0
1,4,1,0,1,0,0,3,2,18,1
0,4,1,0,2,0,0,1,0,20,1
0,3,1,1,0,4,2,1,1,20,1
1,1,1,2,3,2,1,1,4,12,1
0,4,1,1,0,3,1,0,4,19,1
1,1,2,0,1,3,1,2,3,9,1
1,2,0,2,2,3,1,0,4,17,1
1,3,0,1,3,1,2,1,0,11,0
1,2,2,1,0,3,2,2,0,9,1
0,3,0,0,2,3,0,0,4,7,1
0,4,0,1,2,2,2,0,3,13,0
0,3,1,0,0,1,1,0,1,18,0
1,0,1,0,2,1,2,3,1,15,1
0,1,1,2,2,0,0,1,3,13,1
1,1,0,2,3,4,1,1,2,5,1
1,0,1,1,2,1,1,2,0,14,1
1,2,2,0,3,1,0,0,2,14,0
0,0,0,0,2,2,0,1,3,20,1
0,4,0,2,1,3,1,0,2,9,1
0,4,1,2,1,1,2,1,3,19,0
1,1,2,0,3,1,2,0,1,20,0
1,4,1,2,3,4,1,1,1,16,1
0,1,1,1,1,2,1,2,2,15,1
1,0,0,0,2,4,1,0,2,17,0
0,0,0,2,3,1,2,1,0,19,1
0,0,1,1,0,1,2,2,1,15,0
0,1,0,0,2,2,1,2,0,11,0
1,0,0,1,2,0,0,1,2,12,1
0,0,0,1,1,0,1,0,3,17,0
1,2,1,0,3,1,1,3,1,12,0
1,0,0,1,2,1,2,2,3,18,0
0,4,1,2,3,4,1,2,0,6,1
0,1,0,2,3,4,2,1,0,15,1
0,2,2,2,3,4,0,3,4,20,0
0,3,0,1,1,3,1,3,1,17,1
1,1,1,2,3,1,0,3,1,17,0
1,4,0,1,1,3,1,1,0,9,0
0,1,1,2,0,0,0,0,3,20,1
1,4,1,0,2,1,2,2,1,6,1
1,4,0,1,2,1,1,1,0,9,1
1,3,1,1,0,2,1,3,4,15,0
1,1,0,2,1,1,0,2,2,8,0
1,3,2,0,2,0,2,2,1,19,0
0,3,1,2,1,1,0,3,2,8,1
1,1,1,2,1,3,0,3,3,19,1
0,0,1,0,1,1,2,2,4,5,0
